BHK,City,Size_sqft,Floors,Bathrooms,Furnishing,Property_Type,Age_years,Parking,Price
5,Bangalore,4972.0,3,3,Unfurnished,Independent House,26.0,Yes,33389622.638183836
2,Delhi,3774.0,8,2,Unfurnished,Villa,12.0,No,32206573.42666154
4,Hyderabad,3773.0,10,4,Semi-furnished,Independent House,29.0,No,26172410.724829532
4,Bangalore,3969.0,6,3,Semi-furnished,Apartment,27.0,Yes,29343853.12323421
4,Delhi,2463.0,2,4,Unfurnished,Villa,13.0,Yes,23474254.821921077
4,Mumbai,2665.0,1,4,Fully-furnished,Villa,27.0,Yes,39983987.08366898
5,Ahmedabad,4072.0,10,4,Unfurnished,Apartment,11.0,Yes,20597025.264888067
3,Mumbai,2375.0,5,3,Semi-furnished,Apartment,24.0,No,30930581.31273815
1,Pune,1736.0,11,2,Semi-furnished,Villa,28.0,Yes,9297382.62593134
4,Hyderabad,3246.0,9,4,Unfurnished,Independent House,7.0,No,21377032.20581036
2,Bangalore,4708.0,10,1,Semi-furnished,Villa,10.0,Yes,34249336.466854244
4,Kolkata,4968.0,9,3,Unfurnished,Villa,27.0,No,22067328.78853074
2,Delhi,2846.0,1,4,Fully-furnished,Apartment,19.0,Yes,31298287.671580534
2,Kolkata,1542.0,3,4,Fully-furnished,Apartment,11.0,No,9312289.18465232
4,Delhi,4606.0,13,3,Unfurnished,Apartment,25.0,Yes,39082961.922317825
5,Pune,507.0,6,2,Semi-furnished,Villa,0.0,Yes,7949881.38478068
2,Kolkata,4196.0,5,1,Semi-furnished,Villa,19.0,Yes,19268720.587791722
2,Bangalore,4231.0,4,4,Fully-furnished,Apartment,21.0,No,35576341.42922777
4,Chennai,2073.0,13,1,Semi-furnished,Villa,1.0,No,16562318.434260162
2,Mumbai,960.0,2,3,Semi-furnished,Apartment,22.0,No,14799477.204961577
2,Bangalore,3806.0,12,2,Unfurnished,Villa,28.0,No,24649661.25198402
4,Jaipur,2802.0,12,3,Fully-furnished,Independent House,18.0,Yes,14648797.64855387
4,Surat,3133.0,12,2,Fully-furnished,Apartment,23.0,Yes,17185119.549618617
1,Pune,1851.0,4,4,Unfurnished,Independent House,3.0,No,10324479.360882174
5,Ahmedabad,861.0,5,4,Unfurnished,Apartment,24.0,No,6282702.698291572
5,Delhi,1287.0,12,4,Fully-furnished,Apartment,11.0,Yes,19225655.055805452
2,Bangalore,708.0,2,2,Fully-furnished,Villa,0.0,No,10938450.708386546
5,Kolkata,766.0,10,3,Unfurnished,Apartment,9.0,No,6272500.451648489
2,Surat,1053.0,1,4,Fully-furnished,Independent House,0.0,Yes,7558687.647371951
1,Chennai,2087.0,7,2,Fully-furnished,Independent House,29.0,No,14534702.77445931
4,Jaipur,1618.0,7,4,Semi-furnished,Villa,4.0,No,9853649.932049256
4,Kolkata,2013.0,8,3,Fully-furnished,Apartment,24.0,Yes,12574414.755383464
4,Mumbai,2426.0,10,1,Unfurnished,Apartment,21.0,No,30658240.744408473
5,Chennai,3903.0,6,1,Semi-furnished,Villa,10.0,Yes,26025990.93799654
1,Surat,3561.0,1,3,Semi-furnished,Apartment,1.0,No,16521061.346518721
5,Hyderabad,720.0,8,4,Fully-furnished,Apartment,8.0,No,10895438.602506464
5,Hyderabad,2844.0,2,4,Semi-furnished,Independent House,11.0,Yes,22773079.985608798
1,Surat,2471.0,12,1,Unfurnished,Independent House,6.0,Yes,11059228.40360634
1,Hyderabad,4938.0,3,1,Unfurnished,Independent House,15.0,No,29508252.03378172
1,Pune,4564.0,8,1,Fully-furnished,Independent House,20.0,No,27513330.65435439
1,Bangalore,2484.0,4,1,Fully-furnished,Apartment,6.0,No,23643515.354505997
4,Delhi,1391.0,5,2,Unfurnished,Apartment,26.0,Yes,14650750.763391867
3,Bangalore,4026.0,9,3,Unfurnished,Independent House,8.0,No,29063852.459423553
3,Jaipur,1705.0,11,4,Fully-furnished,Apartment,23.0,Yes,10246746.341984088
1,Bangalore,1718.0,7,4,Unfurnished,Villa,7.0,Yes,12965235.148704289
3,Bangalore,2355.0,10,3,Fully-furnished,Villa,8.0,Yes,22081511.283437315
3,Mumbai,2499.0,12,4,Semi-furnished,Apartment,26.0,No,32350985.672017287
1,Delhi,2935.0,7,4,Semi-furnished,Apartment,18.0,Yes,27235372.044227853
3,Bangalore,3474.0,1,1,Fully-furnished,Independent House,16.0,Yes,30384752.862637598
5,Delhi,3598.0,1,4,Fully-furnished,Independent House,11.0,Yes,40704827.87122376
2,Ahmedabad,3886.0,8,3,Fully-furnished,Villa,11.0,No,23454951.605989613
2,Hyderabad,2316.0,10,3,Unfurnished,Apartment,3.0,No,15485930.318270897
1,Kolkata,2277.0,1,3,Fully-furnished,Apartment,8.0,No,14274706.95887939
4,Mumbai,3004.0,10,4,Fully-furnished,Independent House,9.0,No,45861619.58856243
1,Hyderabad,3439.0,2,2,Semi-furnished,Apartment,16.0,Yes,22218477.155857667
4,Delhi,1338.0,4,1,Fully-furnished,Independent House,9.0,No,19344307.90890468
2,Hyderabad,3201.0,9,3,Fully-furnished,Independent House,11.0,No,25139710.838109706
1,Bangalore,3638.0,7,2,Semi-furnished,Apartment,16.0,No,26466861.04508641
5,Kolkata,675.0,13,4,Unfurnished,Independent House,5.0,No,6807614.550863821
3,Bangalore,4186.0,13,1,Fully-furnished,Villa,3.0,No,37327977.1879362
4,Jaipur,3662.0,12,2,Fully-furnished,Independent House,15.0,Yes,18168301.391228557
3,Bangalore,3252.0,7,4,Fully-furnished,Villa,16.0,No,28302500.104791507
3,Kolkata,1689.0,12,4,Fully-furnished,Apartment,15.0,Yes,11580084.867218627
1,Chennai,1337.0,10,2,Semi-furnished,Apartment,3.0,Yes,10498480.239704104
3,Ahmedabad,4398.0,7,2,Semi-furnished,Apartment,26.0,No,21861360.52265911
5,Delhi,4351.0,5,3,Semi-furnished,Apartment,5.0,No,42686753.57417858
3,Ahmedabad,3233.0,1,1,Fully-furnished,Apartment,7.0,Yes,21484886.13778908
1,Jaipur,4310.0,5,1,Unfurnished,Independent House,8.0,Yes,16364342.906349063
5,Ahmedabad,3153.0,8,3,Fully-furnished,Apartment,25.0,Yes,20667540.943154544
2,Hyderabad,3750.0,12,1,Fully-furnished,Apartment,27.0,Yes,28745546.934517503
3,Surat,3849.0,12,1,Unfurnished,Apartment,5.0,No,17455379.841605093
1,Mumbai,3810.0,7,4,Fully-furnished,Villa,29.0,No,50214982.50262458
2,Kolkata,2886.0,7,2,Semi-furnished,Independent House,13.0,No,15416908.551241556
2,Mumbai,873.0,2,3,Semi-furnished,Apartment,12.0,No,14765544.617237529
4,Kolkata,1761.0,1,2,Unfurnished,Apartment,17.0,Yes,8627526.040974231
5,Delhi,620.0,4,1,Semi-furnished,Independent House,28.0,No,9078678.74710217
3,Ahmedabad,4345.0,8,1,Unfurnished,Villa,27.0,No,20151768.02820494
1,Delhi,3384.0,14,3,Unfurnished,Apartment,21.0,No,27788689.86711845
4,Bangalore,3117.0,1,2,Fully-furnished,Villa,16.0,Yes,27778944.053787697
5,Bangalore,4638.0,13,4,Semi-furnished,Independent House,16.0,No,35795526.13730146
4,Mumbai,3768.0,2,2,Unfurnished,Apartment,16.0,Yes,43577737.9425238
5,Pune,2542.0,7,2,Fully-furnished,Independent House,28.0,No,18188168.686500654
5,Pune,2619.0,5,3,Unfurnished,Apartment,21.0,Yes,15565399.954959223
3,Surat,990.0,6,4,Semi-furnished,Apartment,14.0,Yes,6633098.728208833
5,Pune,3545.0,12,2,Semi-furnished,Apartment,14.0,No,20703922.658160947
4,Jaipur,882.0,8,2,Fully-furnished,Apartment,27.0,Yes,5775500.584535021
5,Hyderabad,1304.0,12,1,Unfurnished,Independent House,10.0,No,11495328.988557022
3,Hyderabad,1677.0,9,1,Semi-furnished,Apartment,6.0,Yes,14249203.347367516
3,Bangalore,2717.0,8,4,Semi-furnished,Villa,16.0,Yes,21507779.371874455
4,Pune,1795.0,12,2,Semi-furnished,Apartment,11.0,No,11630280.787265021
2,Surat,1417.0,14,2,Semi-furnished,Independent House,18.0,Yes,8166409.567413068
2,Kolkata,4746.0,1,1,Semi-furnished,Villa,18.0,Yes,23543761.941845212
5,Bangalore,2914.0,14,4,Unfurnished,Apartment,6.0,Yes,22741197.41446915
1,Delhi,1150.0,11,3,Unfurnished,Independent House,19.0,Yes,11000913.603566285
5,Pune,2786.0,4,1,Fully-furnished,Independent House,8.0,Yes,19676647.27675796
4,Bangalore,3251.0,5,2,Semi-furnished,Apartment,24.0,No,23972351.454283744
4,Pune,3698.0,13,3,Fully-furnished,Villa,25.0,Yes,23960636.542302404
4,Jaipur,1441.0,9,2,Unfurnished,Independent House,3.0,No,7947022.311691112
4,Surat,1040.0,6,2,Unfurnished,Independent House,29.0,Yes,6604964.165598112
4,Mumbai,3180.0,14,2,Fully-furnished,Villa,18.0,No,47892816.302074105
3,Chennai,4227.0,6,4,Unfurnished,Apartment,12.0,Yes,24849178.540262964
2,Surat,3029.0,14,3,Semi-furnished,Apartment,28.0,Yes,14110917.952137582
4,Pune,1702.0,3,2,Semi-furnished,Apartment,21.0,Yes,11966917.039809084
1,Delhi,1150.0,12,4,Unfurnished,Apartment,14.0,Yes,10778048.4066599
1,Delhi,3506.0,14,3,Semi-furnished,Villa,8.0,Yes,32743654.10053757
1,Mumbai,3404.0,2,1,Fully-furnished,Independent House,9.0,No,47566175.16345753
1,Ahmedabad,813.0,2,4,Unfurnished,Apartment,29.0,No,4456967.093815758
3,Delhi,4614.0,7,3,Fully-furnished,Independent House,7.0,No,49545846.27281689
1,Bangalore,1683.0,5,2,Unfurnished,Independent House,6.0,Yes,12580308.958088307
4,Delhi,621.0,12,2,Semi-furnished,Villa,6.0,Yes,10556090.421679527
5,Chennai,668.0,10,4,Semi-furnished,Independent House,20.0,No,7471668.261770154
1,Mumbai,4182.0,1,1,Semi-furnished,Apartment,8.0,No,50173463.1441175
3,Bangalore,4621.0,12,4,Semi-furnished,Independent House,17.0,Yes,34488877.17336024
3,Pune,4468.0,5,1,Fully-furnished,Apartment,12.0,No,28922795.428671464
1,Surat,4517.0,11,1,Fully-furnished,Apartment,26.0,Yes,22621232.580565732
5,Mumbai,4197.0,1,4,Unfurnished,Apartment,15.0,No,50177567.110427305
1,Chennai,2229.0,9,4,Semi-furnished,Independent House,20.0,No,14081021.052826943
3,Hyderabad,4055.0,8,4,Semi-furnished,Villa,4.0,Yes,28567639.525069762
2,Chennai,1618.0,14,3,Fully-furnished,Independent House,4.0,No,13974072.368819412
4,Kolkata,2668.0,4,3,Semi-furnished,Villa,7.0,No,15186930.109615799
3,Kolkata,4721.0,11,4,Semi-furnished,Villa,14.0,Yes,22845433.67094486
1,Hyderabad,3616.0,1,3,Semi-furnished,Villa,12.0,No,24599159.121244516
4,Jaipur,2929.0,11,3,Fully-furnished,Independent House,0.0,Yes,15098152.384491188
1,Delhi,2507.0,8,1,Fully-furnished,Villa,11.0,Yes,27874940.268948026
1,Surat,1550.0,5,2,Semi-furnished,Villa,26.0,Yes,7800980.945557775
2,Ahmedabad,1204.0,1,2,Fully-furnished,Villa,14.0,No,8209841.133228368
4,Ahmedabad,3399.0,2,3,Semi-furnished,Apartment,3.0,No,19819845.71593765
4,Surat,3707.0,5,1,Unfurnished,Villa,16.0,Yes,16678940.740196517
2,Chennai,1206.0,13,4,Semi-furnished,Apartment,20.0,No,9137969.51032676
3,Hyderabad,4332.0,14,1,Semi-furnished,Villa,22.0,No,29290910.652852505
1,Hyderabad,2508.0,9,1,Unfurnished,Independent House,1.0,No,15869707.98786996
5,Pune,2097.0,10,2,Semi-furnished,Apartment,17.0,No,14615127.970453497
1,Mumbai,1566.0,8,4,Semi-furnished,Villa,11.0,No,20875864.121117443
1,Bangalore,2446.0,11,2,Unfurnished,Independent House,22.0,No,16107215.600813039
3,Kolkata,3299.0,10,3,Semi-furnished,Apartment,29.0,Yes,15521616.250384925
1,Ahmedabad,595.0,8,2,Unfurnished,Independent House,1.0,No,4714368.38170144
2,Delhi,2574.0,13,1,Unfurnished,Villa,11.0,Yes,22803978.774471004
2,Bangalore,2418.0,9,4,Semi-furnished,Villa,26.0,No,17539131.21970757
4,Chennai,1765.0,2,4,Semi-furnished,Villa,17.0,No,14233208.952428253
5,Pune,3034.0,7,4,Semi-furnished,Villa,15.0,No,18036017.542990945
1,Bangalore,739.0,10,2,Unfurnished,Apartment,21.0,Yes,6150855.600235947
1,Pune,1827.0,5,2,Unfurnished,Apartment,4.0,Yes,10234440.093889015
3,Ahmedabad,1642.0,3,2,Fully-furnished,Apartment,16.0,Yes,11179606.258486912
2,Ahmedabad,3723.0,10,3,Unfurnished,Villa,10.0,No,17962730.812996335
5,Delhi,4348.0,14,2,Fully-furnished,Villa,6.0,Yes,48667678.38027816
4,Hyderabad,1915.0,8,3,Unfurnished,Independent House,17.0,Yes,13887443.310311574
2,Chennai,2898.0,2,2,Semi-furnished,Independent House,1.0,No,18402266.403838113
4,Jaipur,1260.0,4,3,Semi-furnished,Apartment,27.0,Yes,6604619.282181945
3,Surat,4142.0,13,1,Semi-furnished,Villa,2.0,Yes,20170910.78768165
3,Delhi,2052.0,12,1,Fully-furnished,Villa,8.0,No,24777398.21613978
1,Ahmedabad,1362.0,5,4,Semi-furnished,Independent House,0.0,No,8451619.450108614
5,Mumbai,4535.0,5,1,Unfurnished,Apartment,27.0,No,51469469.97257208
4,Hyderabad,1655.0,4,4,Semi-furnished,Villa,27.0,No,13260427.667614467
2,Surat,856.0,3,3,Semi-furnished,Independent House,27.0,Yes,5498843.113591419
3,Mumbai,2171.0,3,4,Unfurnished,Apartment,23.0,Yes,26573354.121692747
1,Delhi,1828.0,5,1,Fully-furnished,Apartment,17.0,No,20561033.944464386
1,Bangalore,1529.0,12,3,Semi-furnished,Apartment,14.0,No,13026132.962268598
4,Jaipur,2876.0,10,4,Fully-furnished,Independent House,10.0,Yes,15951328.633074993
3,Pune,3741.0,13,3,Fully-furnished,Villa,24.0,Yes,23359061.005042613
5,Surat,2491.0,6,3,Semi-furnished,Independent House,4.0,No,13706569.433546735
3,Surat,4371.0,13,1,Unfurnished,Villa,8.0,No,18699029.40985089
4,Delhi,2885.0,1,3,Fully-furnished,Villa,13.0,No,34077864.886989936
4,Surat,3640.0,11,2,Unfurnished,Villa,26.0,Yes,14968544.895406175
3,Pune,1381.0,4,1,Fully-furnished,Apartment,11.0,No,11039859.93871049
4,Pune,1038.0,10,4,Semi-furnished,Villa,9.0,No,8631113.077146221
3,Mumbai,2357.0,14,2,Unfurnished,Apartment,8.0,Yes,29281448.806626566
2,Bangalore,4057.0,10,1,Unfurnished,Independent House,20.0,Yes,26572573.13303674
3,Pune,2696.0,6,3,Fully-furnished,Villa,1.0,Yes,18740469.461179893
3,Jaipur,2450.0,13,4,Unfurnished,Independent House,8.0,Yes,11288945.49511994
4,Surat,2110.0,2,3,Semi-furnished,Independent House,14.0,Yes,11365077.044373741
4,Mumbai,3663.0,10,3,Unfurnished,Villa,23.0,Yes,41824427.30904377
1,Ahmedabad,4963.0,5,4,Unfurnished,Villa,18.0,No,21589779.99535141
1,Mumbai,4507.0,11,4,Fully-furnished,Apartment,15.0,No,60527809.885033794
2,Jaipur,726.0,9,1,Unfurnished,Villa,0.0,No,5203377.980987834
1,Hyderabad,1091.0,3,1,Unfurnished,Apartment,20.0,No,7288597.726223483
3,Mumbai,4619.0,3,3,Semi-furnished,Apartment,17.0,Yes,56032468.77370479
4,Ahmedabad,2575.0,9,1,Unfurnished,Villa,24.0,Yes,13618626.359268088
1,Pune,3171.0,13,2,Semi-furnished,Villa,4.0,Yes,17913541.429515988
1,Kolkata,1868.0,3,4,Unfurnished,Villa,6.0,Yes,9369498.259240102
2,Kolkata,2522.0,4,3,Unfurnished,Apartment,0.0,Yes,13719003.23758119
2,Kolkata,2578.0,12,2,Semi-furnished,Apartment,16.0,Yes,13857991.233087737
3,Hyderabad,4450.0,9,2,Unfurnished,Apartment,14.0,Yes,27209310.59155446
4,Ahmedabad,4381.0,4,4,Unfurnished,Apartment,7.0,No,21247637.997245975
2,Jaipur,3821.0,5,1,Fully-furnished,Apartment,13.0,No,17929818.53369632
1,Delhi,4645.0,2,2,Fully-furnished,Villa,7.0,Yes,47511311.1810988
4,Kolkata,2936.0,8,3,Unfurnished,Apartment,15.0,No,14793679.06246869
4,Delhi,2304.0,13,2,Semi-furnished,Villa,11.0,Yes,23928030.257379383
1,Hyderabad,3859.0,9,4,Fully-furnished,Apartment,23.0,Yes,28798451.08461112
2,Delhi,2230.0,10,1,Unfurnished,Apartment,6.0,No,21094647.72087111
1,Surat,4162.0,4,1,Fully-furnished,Villa,4.0,No,21844424.611889854
4,Hyderabad,3473.0,3,3,Unfurnished,Independent House,0.0,Yes,23216111.523392815
5,Delhi,1529.0,4,3,Semi-furnished,Independent House,29.0,Yes,17709586.73610804
5,Mumbai,911.0,13,3,Fully-furnished,Apartment,23.0,No,20102132.697645724
3,Kolkata,2481.0,13,3,Fully-furnished,Villa,25.0,No,14908852.076880565
1,Bangalore,1161.0,7,3,Unfurnished,Independent House,10.0,Yes,9424361.343796534
1,Chennai,1847.0,1,2,Semi-furnished,Independent House,22.0,Yes,11781644.013304038
3,Hyderabad,3970.0,11,2,Semi-furnished,Villa,11.0,Yes,28120625.4739265
3,Pune,1805.0,11,4,Semi-furnished,Independent House,13.0,No,11425319.936517876
3,Chennai,4786.0,2,1,Unfurnished,Apartment,11.0,Yes,27155704.578015115
4,Jaipur,3333.0,10,2,Semi-furnished,Apartment,11.0,No,16300593.88992902
1,Hyderabad,2353.0,5,3,Semi-furnished,Apartment,2.0,No,16812109.02835403
4,Hyderabad,1315.0,9,4,Unfurnished,Independent House,6.0,No,11107515.80338254
3,Delhi,4005.0,13,3,Semi-furnished,Villa,20.0,No,36272086.96897474
1,Hyderabad,1976.0,6,1,Semi-furnished,Villa,25.0,Yes,13440964.625254612
4,Kolkata,4013.0,3,3,Fully-furnished,Apartment,26.0,No,23246502.49584309
4,Ahmedabad,2537.0,3,4,Semi-furnished,Apartment,9.0,Yes,15472426.958962284
3,Ahmedabad,1830.0,13,4,Fully-furnished,Apartment,9.0,Yes,12459458.35542581
1,Jaipur,4306.0,7,4,Fully-furnished,Apartment,3.0,Yes,20560394.905912016
3,Surat,1649.0,3,1,Fully-furnished,Independent House,16.0,No,9907765.958990531
1,Bangalore,506.0,10,2,Fully-furnished,Apartment,9.0,No,7346563.854027686
5,Surat,1936.0,3,2,Semi-furnished,Independent House,1.0,Yes,10608515.14900367
2,Kolkata,3750.0,10,4,Fully-furnished,Apartment,17.0,Yes,20398808.19946787
2,Kolkata,4039.0,12,2,Fully-furnished,Villa,25.0,Yes,22000052.42572893
2,Mumbai,1194.0,7,1,Fully-furnished,Independent House,27.0,Yes,19040846.034758825
3,Ahmedabad,3465.0,9,3,Semi-furnished,Villa,1.0,No,18589346.0724939
5,Chennai,3799.0,9,1,Unfurnished,Villa,8.0,No,23749954.788984172
1,Pune,4741.0,3,2,Fully-furnished,Villa,21.0,No,27825001.91821941
4,Hyderabad,3867.0,8,1,Fully-furnished,Apartment,12.0,Yes,30760661.49151495
1,Bangalore,4882.0,1,3,Unfurnished,Villa,4.0,No,31713208.826287564
4,Pune,525.0,14,1,Semi-furnished,Villa,25.0,Yes,5191591.913642391
1,Surat,2653.0,12,2,Fully-furnished,Villa,19.0,Yes,14342457.065079104
5,Pune,4835.0,8,3,Semi-furnished,Independent House,8.0,No,28487148.7980661
4,Mumbai,3989.0,11,2,Fully-furnished,Apartment,14.0,No,58709803.43203229
3,Bangalore,831.0,2,3,Semi-furnished,Villa,24.0,Yes,7752493.70116176
1,Bangalore,1144.0,4,4,Semi-furnished,Apartment,25.0,Yes,9162988.5203207
1,Mumbai,2352.0,7,3,Fully-furnished,Independent House,27.0,Yes,32028431.643389944
4,Kolkata,4630.0,6,2,Fully-furnished,Apartment,22.0,No,26216992.730919447
3,Mumbai,3423.0,12,4,Semi-furnished,Villa,20.0,Yes,43605292.018313415
3,Kolkata,2931.0,9,4,Fully-furnished,Apartment,21.0,No,16819305.91754958
5,Chennai,4084.0,14,2,Unfurnished,Apartment,18.0,Yes,24089009.08734026
3,Jaipur,4309.0,8,2,Semi-furnished,Apartment,17.0,Yes,18428048.815317042
3,Kolkata,1310.0,2,1,Unfurnished,Apartment,9.0,No,7017503.115959247
3,Pune,1811.0,13,2,Fully-furnished,Apartment,9.0,No,12944653.48071257
2,Kolkata,3295.0,4,3,Unfurnished,Independent House,3.0,Yes,16111800.944847308
5,Jaipur,2394.0,1,4,Unfurnished,Villa,2.0,Yes,12460355.686723672
1,Surat,3506.0,7,1,Semi-furnished,Apartment,19.0,No,15278969.346208807
4,Hyderabad,4800.0,4,1,Unfurnished,Apartment,25.0,Yes,29691461.411379162
1,Mumbai,2570.0,8,1,Fully-furnished,Villa,10.0,Yes,37055461.17239014
5,Hyderabad,3156.0,2,4,Semi-furnished,Villa,16.0,No,22824181.243918087
4,Mumbai,4634.0,8,1,Fully-furnished,Villa,0.0,No,68338361.5352608
5,Chennai,4768.0,2,4,Fully-furnished,Villa,21.0,Yes,34100739.37315965
3,Ahmedabad,3984.0,11,4,Unfurnished,Apartment,10.0,Yes,18543111.28204946
4,Pune,913.0,8,1,Fully-furnished,Villa,25.0,Yes,8476406.154058307
3,Pune,1191.0,13,4,Unfurnished,Independent House,3.0,No,9165659.798519038
1,Surat,3162.0,13,1,Semi-furnished,Apartment,15.0,No,13803108.81017031
1,Ahmedabad,4617.0,1,2,Semi-furnished,Independent House,1.0,Yes,23279739.807532053
4,Ahmedabad,3198.0,13,3,Unfurnished,Villa,2.0,No,17056603.106639307
4,Mumbai,4809.0,2,2,Semi-furnished,Independent House,23.0,No,59720790.96691165
5,Pune,1419.0,5,3,Semi-furnished,Apartment,5.0,Yes,10944793.197728772
5,Pune,1406.0,1,4,Semi-furnished,Apartment,17.0,No,10760011.691102304
3,Ahmedabad,3710.0,12,4,Semi-furnished,Apartment,22.0,Yes,19808771.920232873
4,Mumbai,4228.0,5,1,Unfurnished,Apartment,17.0,No,49319662.19301523
1,Kolkata,3219.0,5,2,Unfurnished,Independent House,0.0,Yes,14332125.54554558
5,Kolkata,4166.0,7,2,Fully-furnished,Apartment,4.0,Yes,25348365.2532203
5,Jaipur,2864.0,2,4,Fully-furnished,Apartment,11.0,No,16726610.628719993
1,Delhi,1292.0,2,2,Semi-furnished,Apartment,29.0,Yes,12676171.362313343
5,Bangalore,1075.0,12,3,Unfurnished,Villa,25.0,Yes,11300326.110982781
3,Chennai,2227.0,6,4,Unfurnished,Independent House,24.0,No,13420202.928210411
4,Mumbai,3727.0,14,1,Unfurnished,Villa,4.0,No,44840952.68644014
1,Kolkata,4071.0,11,1,Fully-furnished,Apartment,0.0,No,22344840.068039775
4,Surat,4686.0,13,4,Semi-furnished,Villa,17.0,No,22328492.287130464
5,Bangalore,4225.0,10,4,Unfurnished,Apartment,19.0,Yes,30516495.51886829
5,Bangalore,3866.0,3,1,Fully-furnished,Villa,4.0,No,34278663.00928446
1,Bangalore,1860.0,13,3,Unfurnished,Apartment,17.0,Yes,12548377.784936585
3,Ahmedabad,2548.0,13,2,Unfurnished,Apartment,2.0,No,14138961.447148668
2,Jaipur,3475.0,8,4,Fully-furnished,Apartment,21.0,Yes,17722615.357209213
1,Surat,3696.0,3,4,Fully-furnished,Villa,21.0,No,19486708.577437453
2,Delhi,1587.0,10,3,Unfurnished,Apartment,25.0,Yes,14616967.012654593
2,Surat,705.0,4,1,Semi-furnished,Villa,0.0,No,5976201.087663605
